country_rank,country,sales_amount,units_sold,order_count,customer_count,product_count
1,United Kingdom,9001744.094000,4646906,18019,3920,3916
2,Netherlands,285446.340000,200361,94,9,782
3,EIRE,283140.520000,147007,288,3,1968
4,Germany,228678.400000,119154,457,94,1664
5,France,209625.370000,112060,392,87,1542
6,Australia,138453.810000,83891,57,9,599
7,Spain,61558.560000,27933,90,30,1091
8,Switzerland,57067.600000,30617,54,21,978
9,Belgium,41196.340000,23237,98,25,777
10,Sweden,38367.830000,36078,36,8,261
11,Japan,37416.370000,26016,19,8,215
12,Norway,36165.440000,19336,36,10,591
13,Portugal,33683.050000,16231,58,19,706
14,Finland,22546.080000,10704,41,12,458
15,Singapore,21279.290000,5241,7,1,178
16,Channel Islands,20440.540000,9485,26,9,430
17,Denmark,18955.340000,8235,18,9,251
18,Italy,17483.240000,8112,38,14,473
19,Hong Kong,15483.000000,4713,11,0,191
20,Cyprus,13502.850000,6340,16,8,498
21,Austria,10198.680000,4881,17,11,306
22,Israel,8129.410000,4406,8,3,254
23,Poland,7334.650000,3684,19,6,204
24,Greece,4760.520000,1557,5,4,138
25,Unspecified,4740.940000,3295,13,4,344
26,Iceland,4310.000000,2458,7,1,103
27,Canada,3666.380000,2763,6,4,147
28,USA,3580.390000,2458,5,4,163
29,Malta,2725.590000,970,5,2,99
30,United Arab Emirates,1902.280000,982,3,2,68
31,Lebanon,1693.880000,386,1,1,45
32,Lithuania,1661.060000,652,4,1,29
33,European Community,1300.250000,499,4,1,50
34,Brazil,1143.600000,356,1,1,32
35,RSA,1002.310000,351,1,1,57
36,Czech Republic,826.740000,671,2,1,25
37,Bahrain,754.140000,314,3,2,16
38,Saudi Arabia,145.920000,80,1,1,9
