customer_rank,customer_id,country,sales_amount,units_purchased,order_count,product_count
1,14646,Netherlands,280206.020000,196915,73,700
2,18102,United Kingdom,259657.300000,64124,60,150
3,17450,United Kingdom,194390.790000,69973,46,124
4,16446,United Kingdom,168472.500000,80997,2,3
5,14911,EIRE,143711.170000,80240,201,1787
6,12415,Australia,124914.530000,77374,21,444
7,14156,EIRE,117210.080000,57768,55,714
8,17511,United Kingdom,91062.380000,64549,31,453
9,16029,United Kingdom,80850.840000,40108,63,44
10,12346,United Kingdom,77183.600000,74215,1,1
