year_month,sales_amount,order_count,customer_count,product_count,units_sold,avg_order_value
2010-12,821452.730000,1559,885,2788,358019,526.910026
2011-01,689811.610000,1086,741,2573,387099,635.185645
2011-02,522545.560000,1100,758,2398,282934,475.041418
2011-03,716215.260000,1454,974,2503,376599,492.582710
2011-04,536968.491000,1246,856,2459,307953,430.953845
2011-05,769296.610000,1681,1056,2458,395001,457.642243
2011-06,760547.010000,1533,991,2625,388511,496.116771
2011-07,718076.121000,1475,949,2670,399693,486.831268
2011-08,757841.380000,1361,935,2596,421020,556.826877
2011-09,1056435.192000,1837,1266,2733,569573,575.087203
2011-10,1151263.730000,2040,1364,2857,621029,564.344966
2011-11,1503866.780000,2769,1664,2939,751377,543.108263
2011-12,637790.330000,819,615,2470,313612,778.742772
