quantity_rank,stock_code,product_name,units_sold,sales_amount,order_count,customer_count
1,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.600000,1,1
2,23166,MEDIUM CERAMIC TOP STORAGE JAR,78033,81700.920000,247,138
3,22197,POPCORN HOLDER,56898,51334.470000,1392,407
4,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,54951,13814.010000,535,307
5,85099B,JUMBO BAG RED RETROSPOT,48371,94159.810000,2089,635
6,85123A,WHITE HANGING HEART T-LIGHT HOLDER,37641,104462.750000,2198,856
7,21212,PACK OF 72 RETROSPOT CAKE CASES,36396,21246.450000,1320,635
8,84879,ASSORTED COLOUR BIRD ORNAMENT,36362,58927.620000,1455,678
9,23084,RABBIT NIGHT LIGHT,30739,66870.030000,994,450
10,22492,MINI PAINT SET VINTAGE,26633,16937.820000,380,213
